Designator,Footprint,Quantity,Value,LCSC Part #
"D1_24, D1_23, D1_22, D1_21, D1_20, D1_19, D1_18, D1_17, D1_16, D1_15, D1_14, D1_13, D1_12, D1_11, D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1",1206,24,LED,
"R1_24, R1_23, R1_22, R1_21, R1_20, R1_19, R1_18, R1_17, R1_16, R1_15, R1_14, R1_13, R1_12, R1_11, R1_10, R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1",0603,24,R,
"R2_24, R2_23, R2_22, R2_21, R2_20, R2_19, R2_18, R2_17, R2_16, R2_15, R2_14, R2_13, R2_12, R2_11, R2_10, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2",2816,24,R,
