Designator,Mid X,Mid Y,Rotation,Layer
D1,160.055066,-85.655764,310.0,top
D2,118.709918,-85.66,50.0,top
D3,112.629918,-99.48,82.5,top
D4,114.929918,-114.41,115.0,top
J1,112.836774,-115.401504,245.0,bottom
R1,110.989918,-109.12,77.0,bottom
R2,111.759918,-111.93,72.0,bottom
